nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,sponsor_name,agency_class,drug_name,intervention_type
NCT03712787,"ClinicalTrials.gov processed this data on January 31, 2020",2018-10-18,,,2020-01-30,2018-10-18,2018-10-19,Actual,,,,,,,2020-01-30,2020-01-31,Estimate,"March 22, 2019",Actual,2019-03-22,January 2020,2020-01-31,"August 11, 2026",Anticipated,2026-08-11,"August 11, 2026",Anticipated,2026-08-11,,Interventional,,,An Extension Study of ABBV-8E12 in Early Alzheimer's Disease (AD),An Extension Study of ABBV-8E12 in Early Alzheimer's Disease,Enrolling by invitation,,Phase 2,360,Anticipated,AbbVie,,2,,,True,,,,True,True,False,,,False,,,"Data requests can be submitted at any time and the data will be accessible for 12 months, with possible extensions considered.","Access to this clinical trial data can be requested by any qualified researchers who engage in rigorous, independent scientific research, and will be provided following review and approval of a research proposal and Statistical Analysis Plan (SAP) and execution of a Data Sharing Agreement (DSA). For more information on the process, or to submit a request, visit the following link.",https://www.abbvie.com/our-science/clinical-trials/clinical-trials-data-and-information-sharing/data-and-information-sharing-with-qualified-researchers.html,Yes,"AbbVie is committed to responsible data sharing regarding the clinical trials we sponsor. This includes access to anonymized, individual and trial-level data (analysis data sets), as well as other information (e.g., protocols and clinical study reports), as long as the trials are not part of an ongoing or planned regulatory submission. This includes requests for clinical trial data for unlicensed products and indications.",2020-02-04 05:13:51.142442,2020-02-04 05:13:51.142442,AbbVie,Industry,ABBV-8E12,Drug
NCT00555204,"ClinicalTrials.gov processed this data on January 31, 2020",2007-11-07,,2011-08-19,2011-08-19,2007-11-07,2007-11-08,Estimate,,,,2011-08-19,2011-08-23,Estimate,2011-08-19,2011-08-23,Estimate,November 2007,,2007-11-30,August 2011,2011-08-31,,,,June 2009,Actual,2009-06-30,,Interventional,,,Safety and Efficacy Study of ABT-089 in Adults With Mild to Moderate Alzheimer's Disease,"A Randomized, Double-Blind, Placebo-Controlled Study Using a Bayesian Adaptive Design to Evaluate the Efficacy and Safety of ABT-089 in Subjects With Mild-to-Moderate Alzheimer's Disease on Stable Doses of Acetylcholinesterase Inhibitors",Terminated,,Phase 2,337,Actual,Abbott,,7,,,False,,,,True,,,,,,,,,,,,,2020-02-01 20:06:30.241600,2020-02-01 20:06:30.241600,Abbott,Industry,ABT-089,Drug
NCT01018875,"ClinicalTrials.gov processed this data on January 31, 2020",2009-11-20,,2012-02-01,2018-06-01,2009-11-23,2009-11-24,Estimate,,,,2012-02-01,2012-02-03,Estimate,2018-06-01,2018-06-06,Actual,December 2009,,2009-12-31,January 2013,2013-01-31,February 2011,Actual,2011-02-28,February 2011,Actual,2011-02-28,,Interventional,,,Efficacy and Safety Study of ABT-288 in Subjects With Mild-to-Moderate Alzheimer's Disease,"A Randomized, Double-Blind, Active- and Placebo-Controlled Study to Evaluate the Efficacy and Safety of ABT-288 in Subjects With Mild-to-Moderate Alzheimer's Disease",Completed,,Phase 2,242,Actual,AbbVie,,4,,,False,,,,True,,,,,,,,,,,,,2020-02-01 17:45:00.201179,2020-02-01 17:45:00.201179,"AbbVie (prior sponsor, Abbott)",Industry,ABT-288,Drug
NCT02220738,"ClinicalTrials.gov processed this data on January 31, 2020",2014-08-18,,,2016-06-14,2014-08-18,2014-08-20,Estimate,,,,,,,2016-06-14,2016-06-16,Estimate,September 2014,,2014-09-30,June 2016,2016-06-30,March 2016,Actual,2016-03-31,March 2016,Actual,2016-03-31,,Interventional,,,"Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of ABT-957 in Subjects With Mild-to-Moderate Alzheimer's Disease on Stable Doses of Acetylcholinesterase Inhibitors","A Multiple-Dose Study to Evaluate the Safety, Tolerability and Pharmacokinetics of ABT-957 in Subjects With Mild-to-Moderate Alzheimer's Disease on Stable Doses of Acetylcholinesterase Inhibitors",Terminated,,Phase 1,19,Actual,AbbVie,,2,,Slow subject enrollment,False,,,,False,,,,,,,,,,,,,2020-02-01 12:24:40.493365,2020-02-01 12:24:40.493365,AbbVie,Industry,ABT-957,Drug
NCT03113812,"ClinicalTrials.gov processed this data on January 31, 2020",2017-04-04,,,2017-04-10,2017-04-10,2017-04-14,Actual,,,,,,,2017-04-10,2017-04-14,Actual,"January 1, 2014",Actual,2014-01-01,April 2017,2017-04-30,"July 30, 2015",Actual,2015-07-30,"July 30, 2015",Actual,2015-07-30,,Interventional,,,Repeated Subcutaneous Administration of ABvac40 in Mild to Moderate Alzheimer's Disease Patients,"A Randomized, Placebo-controlled, Parallel Group, Double-blinded, Single-center Phase-I, Pilot Study to Assess Tolerability and Safety of Repeated Subcutaneous Administration of ABvac40 in Patients With Mild to Moderate Alzheimer's Disease.",Completed,,Phase 1,24,Actual,Araclon Biotech S.L.,,2,,,False,,,,True,False,False,,,,,,,,,No,,2020-02-01 09:16:52.146443,2020-02-01 09:16:52.146443,Araclon Biotech S.L.,Industry,ABvac40,Drug
NCT00955409,"ClinicalTrials.gov processed this data on January 31, 2020",2009-08-04,,,2014-01-29,2009-08-07,2009-08-10,Estimate,,,,,,,2014-01-29,2014-01-31,Estimate,November 2009,,2009-11-30,January 2014,2014-01-31,December 2013,Actual,2013-12-31,December 2013,Actual,2013-12-31,,Interventional,,,"Long Term Extension Study Evaluating Safety, Tolerability and Immunogenicity Of ACC-001 In Subjects With Mild To Moderate Alzheimer's Disease","A Phase IIa, Multicenter, Randomized, Third-Party Unblinded, Long-Term Extension Study To Determine Safety, Tolerability, And Immunogenicity Of ACC-001 With QS-21 Adjuvant In Subjects With Mild To Moderate Alzheimer's Disease",Completed,,Phase 2,50,Actual,Pfizer,,3,,,False,,,,True,,,,,,,,,,,,,2020-02-01 18:08:14.718450,2020-02-01 18:08:14.718450,Pfizer,Industry,ACC-001,Drug
NCT00955409,"ClinicalTrials.gov processed this data on January 31, 2020",2009-08-04,,,2014-01-29,2009-08-07,2009-08-10,Estimate,,,,,,,2014-01-29,2014-01-31,Estimate,November 2009,,2009-11-30,January 2014,2014-01-31,December 2013,Actual,2013-12-31,December 2013,Actual,2013-12-31,,Interventional,,,"Long Term Extension Study Evaluating Safety, Tolerability and Immunogenicity Of ACC-001 In Subjects With Mild To Moderate Alzheimer's Disease","A Phase IIa, Multicenter, Randomized, Third-Party Unblinded, Long-Term Extension Study To Determine Safety, Tolerability, And Immunogenicity Of ACC-001 With QS-21 Adjuvant In Subjects With Mild To Moderate Alzheimer's Disease",Completed,,Phase 2,50,Actual,Pfizer,,3,,,False,,,,True,,,,,,,,,,,,,2020-02-01 18:08:14.718450,2020-02-01 18:08:14.718450,Pfizer,Industry,ACC-001 + QS21,Drug
NCT00955409,"ClinicalTrials.gov processed this data on January 31, 2020",2009-08-04,,,2014-01-29,2009-08-07,2009-08-10,Estimate,,,,,,,2014-01-29,2014-01-31,Estimate,November 2009,,2009-11-30,January 2014,2014-01-31,December 2013,Actual,2013-12-31,December 2013,Actual,2013-12-31,,Interventional,,,"Long Term Extension Study Evaluating Safety, Tolerability and Immunogenicity Of ACC-001 In Subjects With Mild To Moderate Alzheimer's Disease","A Phase IIa, Multicenter, Randomized, Third-Party Unblinded, Long-Term Extension Study To Determine Safety, Tolerability, And Immunogenicity Of ACC-001 With QS-21 Adjuvant In Subjects With Mild To Moderate Alzheimer's Disease",Completed,,Phase 2,50,Actual,Pfizer,,3,,,False,,,,True,,,,,,,,,,,,,2020-02-01 18:08:14.718450,2020-02-01 18:08:14.718450,Pfizer,Industry,ACC-001+ QS21,Drug
NCT01608217,"ClinicalTrials.gov processed this data on January 31, 2020",2012-05-25,,,2014-06-26,2012-05-25,2012-05-31,Estimate,,,,,,,2014-06-26,2014-06-30,Estimate,June 2012,,2012-06-30,June 2014,2014-06-30,June 2014,Actual,2014-06-30,June 2014,Actual,2014-06-30,,Interventional,,,Delta-THC in Dementia,Efficacy and Safety of Delta-9-tetrahydrocannabinol (∆9-THC) in Behavioural Disturbances and Pain in Dementia,Completed,,Phase 2,50,Actual,Radboud University,,2,,,False,,,,False,,,,,,,,,,,,,2020-02-01 15:02:26.242272,2020-02-01 15:02:26.242272,Radboud University,Other,Acetaminophen,Drug
NCT01614886,"ClinicalTrials.gov processed this data on January 31, 2020",2012-06-06,2015-04-16,,2016-06-30,2012-06-07,2012-06-08,Estimate,2015-04-16,2015-05-12,Estimate,,,,2016-06-30,2016-08-01,Estimate,July 2012,,2012-07-31,June 2015,2015-06-30,May 2014,Actual,2014-05-31,May 2014,Actual,2014-05-31,,Interventional,,"Randomized set (RAN) The RAN consisted of all randomized patients. Patients were analyzed according to the treatment group they were assigned to at randomization. A patient was diagnosed of dementia with Lewy Bodies, different from AD, after randomization and was excluded from all analysis (SAF and FAS).","Randomized, Double-blind Study to Evaluate the Tolerability of 2 Different Titration Methods of Rivastigmine Patch in AD Patients (MMSE 10-20)","A 24-week, Multicenter, Parallel-group, Randomized,Double-blind Study to Evaluate the Tolerability, Safety and Efficacy of 2 Different Titration Methods of Rivastigmine Patch (ENA713D/ONO-2540) in Patients With Mild to Moderate Alzheimer's Disease (MMSE 10-20)",Completed,,Phase 3,216,Actual,Novartis,,2,,,False,,,,False,,,,,,,,,,,,,2020-02-01 15:00:51.368993,2020-02-01 15:00:51.368993,Novartis Pharmaceuticals,Industry,Active Comparator,Drug
NCT01230853,"ClinicalTrials.gov processed this data on January 31, 2020",2010-10-27,,,2013-05-20,2010-10-28,2010-10-29,Estimate,,,,,,,2013-05-20,2013-05-22,Estimate,August 2010,,2010-08-31,February 2013,2013-02-28,February 2013,Actual,2013-02-28,October 2012,Actual,2012-10-31,,Interventional,,,"A Randomized, Double-blind, Placebo-controlled, Combined Single Ascending Dose and Multiple Ascending Dose Study","A Randomized, Double-blind, Placebo-controlled, Combined Single Ascending Dose and Multiple Ascending Dose Study to Assess Safety, Tolerability, Immunogenicity, Pharmacodynamic Response, and Pharmacokinetics of Intravenous Infusions of BAN2401 in Subjects With Mild to Moderate Alzheimer?s Disease",Completed,,Phase 1,80,Actual,Eisai Inc.,,4,,,False,,,,False,,,,,,,,,,,,,2020-02-01 16:43:04.642093,2020-02-01 16:43:04.642093,Eisai Inc.,Industry,Active Comparator: A,Drug
NCT01230853,"ClinicalTrials.gov processed this data on January 31, 2020",2010-10-27,,,2013-05-20,2010-10-28,2010-10-29,Estimate,,,,,,,2013-05-20,2013-05-22,Estimate,August 2010,,2010-08-31,February 2013,2013-02-28,February 2013,Actual,2013-02-28,October 2012,Actual,2012-10-31,,Interventional,,,"A Randomized, Double-blind, Placebo-controlled, Combined Single Ascending Dose and Multiple Ascending Dose Study","A Randomized, Double-blind, Placebo-controlled, Combined Single Ascending Dose and Multiple Ascending Dose Study to Assess Safety, Tolerability, Immunogenicity, Pharmacodynamic Response, and Pharmacokinetics of Intravenous Infusions of BAN2401 in Subjects With Mild to Moderate Alzheimer?s Disease",Completed,,Phase 1,80,Actual,Eisai Inc.,,4,,,False,,,,False,,,,,,,,,,,,,2020-02-01 16:43:04.642093,2020-02-01 16:43:04.642093,Eisai Inc.,Industry,Active Comparator B,Drug
NCT03493282,"ClinicalTrials.gov processed this data on February 06, 2020",2018-02-14,,,2020-01-30,2018-04-03,2018-04-10,Actual,,,,,,,2020-01-30,2020-02-05,Actual,"April 20, 2018",Actual,2018-04-20,January 2020,2020-01-31,"March 1, 2021",Anticipated,2021-03-01,"January 31, 2021",Anticipated,2021-01-31,,Interventional,,,Effect of CT1812 Treatment on Brain Synaptic Density,A Pilot Synaptic Vesicle Glycoprotein 2A (SV2A) PET Study to Evaluate the Effect of CT1812 Treatment on Synaptic Density in Participants With Mild to Moderate Alzheimer's Disease,"Active, not recruiting",,Phase 1/Phase 2,23,Actual,Cognition Therapeutics,,3,,,,,,,True,True,False,,,,,,,,,Undecided,,2020-02-07 06:03:03.394019,2020-02-07 06:03:03.394019,Cognition Therapeutics,Industry,Active Treatment- CT1812 100 mg,Drug
NCT03493282,"ClinicalTrials.gov processed this data on February 06, 2020",2018-02-14,,,2020-01-30,2018-04-03,2018-04-10,Actual,,,,,,,2020-01-30,2020-02-05,Actual,"April 20, 2018",Actual,2018-04-20,January 2020,2020-01-31,"March 1, 2021",Anticipated,2021-03-01,"January 31, 2021",Anticipated,2021-01-31,,Interventional,,,Effect of CT1812 Treatment on Brain Synaptic Density,A Pilot Synaptic Vesicle Glycoprotein 2A (SV2A) PET Study to Evaluate the Effect of CT1812 Treatment on Synaptic Density in Participants With Mild to Moderate Alzheimer's Disease,"Active, not recruiting",,Phase 1/Phase 2,23,Actual,Cognition Therapeutics,,3,,,,,,,True,True,False,,,,,,,,,Undecided,,2020-02-07 06:03:03.394019,2020-02-07 06:03:03.394019,Cognition Therapeutics,Industry,Active Treatment- CT1812 300 mg,Drug
NCT03639987,"ClinicalTrials.gov processed this data on January 31, 2020",2018-08-17,,,2019-11-07,2018-08-17,2018-08-21,Actual,,,,,,,2019-11-07,2019-11-12,Actual,"December 20, 2018",Actual,2018-12-20,November 2019,2019-11-30,"July 30, 2019",Actual,2019-07-30,"July 30, 2019",Actual,2019-07-30,,Interventional,EVOLVE,,A Study of Aducanumab in Participants With Mild Cognitive Impairment Due to Alzheimer's Disease or With Mild Alzheimer's Disease Dementia to Evaluate the Safety of Continued Dosing in Participants With Asymptomatic Amyloid-Related Imaging Abnormalities,"A Phase 2, Multicenter, Randomized, Parallel-Group, Double-Blind, Controlled Study of Aducanumab (BIIB037) in Subjects With Mild Cognitive Impairment Due to Alzheimer's Disease or With Mild Alzheimer's Disease Dementia to Evaluate the Safety of Continued Dosing in Subjects With Asymptomatic Amyloid-Related Imaging Abnormalities",Terminated,,Phase 2,500,Actual,Biogen,,2,,"Study was discontinued based on futility analysis conducted on Phase 3 trials (NCT02477800 and
    NCT02484547) and not based on safety concerns.",False,,,,True,True,False,,,,,,,,,,,2020-02-01 07:47:53.971667,2020-02-01 07:47:53.971667,Biogen,Industry,Aducanumab,Drug
NCT02477800,"ClinicalTrials.gov processed this data on January 31, 2020",2015-06-18,,,2019-11-07,2015-06-18,2015-06-23,Estimate,,,,,,,2019-11-07,2019-11-12,Actual,"August 31, 2015",Actual,2015-08-31,November 2019,2019-11-30,"August 8, 2019",Actual,2019-08-08,"August 8, 2019",Actual,2019-08-08,,Interventional,ENGAGE,,221AD301 Phase 3 Study of Aducanumab (BIIB037) in Early Alzheimer's Disease,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Aducanumab (BIIB037) in Subjects With Early Alzheimer's Disease",Terminated,,Phase 3,1647,Actual,Biogen,,2,,"Study was discontinued based on futility analysis done and not based on safety concerns.
    Follow-up visits and closing out study activities are completed",False,,,,True,,,,,,,,,,,,,2020-02-01 11:26:54.149156,2020-02-01 11:26:54.149156,Biogen,Industry,Aducanumab (BIIB037),Drug
